name,rank,correct_name
Abiotrophia adiacens,species,Granulicatella adiacens
Abiotrophia balaenopterae,species,Granulicatella balaenopterae
Abiotrophia elegans,species,Granulicatella elegans
Absiella argi,species,Amedibacterium intestinale
Absiella,genus,Amedibacterium
Abyssivirga alkaniphila,species,Vallitalea guaymasensis
Abyssivirga,genus,Vallitalea
Acetivibrio cellulosolvens,species,Acetivibrio cellulolyticus
Acetivibrio multivorans,species,Youngiibacter multivorans
Acetobacter ascendens,species,Acetobacter pasteurianus
Acetobacter ascendens,species,Acetobacter pasteurianus
Acetobacter diazotrophicus,species,Gluconacetobacter diazotrophicus
Acetobacter europaeus,species,Komagataeibacter europaeus
Acetobacter hansenii,species,Komagataeibacter hansenii
Acetobacter intermedius,species,Komagataeibacter intermedius
Acetobacter liquefaciens,species,Gluconacetobacter liquefaciens
Acetobacter liquefaciens,species,Gluconacetobacter liquefaciens
Acetobacter methanolicus,species,Acidomonas methanolica
Acetobacter oboediens,species,Komagataeibacter oboediens
Acetobacter peroxydans,species,Acetobacter pasteurianus
Acetobacter persicus,species,Acetobacter persici
Acetobacter suratthanensis,species,Acetobacter suratthaniensis
Acetobacter xylinum,species,Komagataeibacter xylinus
Acetobacter xylinus,species,Komagataeibacter xylinus
Acetogenium kivui,species,Thermoanaerobacter kivui
Acetogenium,genus,Thermoanaerobacter
Acetomicrobium faecale,species,Caldicoprobacter faecalis
Acetomicrobium faecalis,species,Caldicoprobacter faecalis
Acholeplasma entomophilum,species,Mesoplasma entomophilum
Acholeplasma florum,species,Mesoplasma florum
Acholeplasma oculusi,species,Acholeplasma oculi
Acholeplasma seiffertii,species,Mesoplasma seiffertii
Achromobacter sediminum,species,Verticiella sediminum
Achromobacter spiritinus,species,Achromobacter marplatensis
Acidicaldus organivorus,species,Acidicaldus organivorans
Acidimangrovimonas indica,species,Allgaiera indica
Acidiphilium aminilyticum,species,Acidocella aminolytica
Acidiphilium aminolytica,species,Acidocella aminolytica
Acidiphilium facile,species,Acidocella facilis
Acidiphilium facilis,species,Acidocella facilis
Acidipila dinghuensis,species,Silvibacterium dinghuense
Acidisoma cellulosilytica,species,Acidisoma cellulosilyticum
Acidithiobacillus albertis,species,Acidithiobacillus albertensis
Acidithiobacillus concretivorus,species,Acidithiobacillus thiooxidans
Acidovorax antarcticus,species,Comamonas antarctica
Acinetobacter dijkshoorniae,species,Acinetobacter lactucae
Acinetobacter grimontii,species,Acinetobacter junii
Acinetobacter guangdongensis,species,Acinetobacter indicus
Acinetobacter oryzae,species,Acinetobacter johnsonii
Acinetobacter pakistanensis,species,Acinetobacter bohemicus
Acinetobacter plantarum,species,Acinetobacter junii
Acinetobacter zhairhuonensis,species,Acinetobacter zhairuonensis
Actinacidiphila acididurans,species,Streptomyces acididurans
Actinacidiphila acidipaludis,species,Streptomyces acidipaludis
Actinacidiphila alni,species,Streptomyces alni
Actinacidiphila bryophytorum,species,Streptomyces bryophytorum
Actinacidiphila cocklensis,species,Streptomyces cocklensis
Actinacidiphila epipremni,species,Streptomyces epipremni
Actinacidiphila glaucinigra,species,Streptomyces glauciniger
Actinacidiphila guanduensis,species,Streptomyces guanduensis
Actinacidiphila oryziradicis,species,Streptomyces oryziradicis
Actinacidiphila paucisporea,species,Streptomyces paucisporeus
Actinacidiphila rubida,species,Streptomyces rubidus
Actinacidiphila soli,species,Streptomyces soli
Actinacidiphila yanglinensis,species,Streptomyces yanglinensis
Actinacidiphila yeochonensis,species,Streptomyces yeochonensis
Actinacidiphila,genus,Streptomyces
Actinarchaeum halophilum,species,Halocatena halophila
Actinarchaeum,genus,Halocatena
Actinaurispora siamensis,species,Plantactinospora siamensis
Actinaurispora,genus,Plantactinospora
Actinoalloteichus cyanogriseus,species,Actinoalloteichus caeruleus
Actinoarchaeum halophilum,species,Halocatena halophila
Actinoarchaeum,genus,Halocatena
Actinobacillus actinomycetemcomitans,species,Aggregatibacter actinomycetemcomitans
Actinobacillus muris,species,Muribacter muris
Actinobaculum schaalii,species,Actinotignum schaalii
Actinobaculum urinale,species,Actinotignum urinale
Actinobispora alaniniphila,species,Pseudonocardia alaniniphila
Actinobispora aurantiaca,species,Pseudonocardia aurantiaca
Actinobispora xinjiangensis,species,Pseudonocardia xinjiangensis
Actinobispora yunnanensis,species,Pseudonocardia yunnanensis
Actinobispora,genus,Pseudonocardia
Actinokineospora mzabensis,species,Actinokineospora spheciospongiae
Actinomadura africana,species,Nonomuraea africana
Actinomadura amylolytica,species,Thermomonospora amylolytica
Actinomadura aurantiaca,species,Actinocorallia aurantiaca
Actinomadura carminata,species,Nonomuraea roseoviolacea subsp. carminata
Actinomadura catellatispora,species,Actinomadura livida
Actinomadura cellulosilytica,species,Thermomonospora cellulosilytica
Actinomadura coeruleofusca,species,Saccharothrix coeruleofusca
Actinomadura coeruleoviolacea,species,Goodfellowiella coeruleoviolacea
Actinomadura echinospora,species,Thermomonospora echinospora
Actinomadura fastidiosa,species,Nonomuraea fastidiosa
Actinomadura ferruginea,species,Nonomuraea ferruginea
Actinomadura flava,species,Lentzea flava
Actinomadura flexuosa,species,Thermopolyspora flexuosa
Actinomadura glauciflava,species,Actinomadura luteofluorescens
Actinomadura glomerata,species,Actinocorallia glomerata
Actinomadura hankyongense,species,Actinomadura hankyongensis
Actinomadura helvata,species,Nonomuraea helvata
Actinomadura libanotica,species,Actinocorallia libanotica
Actinomadura longicatena,species,Actinocorallia longicatena
Actinomadura longispora,species,Saccharothrix longispora
Actinomadura malachitica,species,Actinomadura viridis
Actinomadura meyerii,species,Actinomadura meyerae
Actinomadura polychroma,species,Nonomuraea polychroma
Actinomadura pusilla,species,Nonomuraea pusilla
Actinomadura recticatena,species,Nonomuraea recticatena
Actinomadura roseola,species,Nonomuraea roseola
Actinomadura roseoviolacea,species,Nonomuraea roseoviolacea
Actinomadura rubra,species,Nonomuraea rubra
Actinomadura rubrobrunea,species,Actinomadura viridilutea
Actinomadura salmonea,species,Nonomuraea salmonea
Actinomadura spadix,species,Actinoallomurus spadix
Actinomadura spiralis,species,Nonomuraea spiralis
Actinomadura turkmeniaca,species,Nonomuraea turkmeniaca
Actinomadura umbrina,species,Thermomonospora umbrina
Actinomyces bernardiae,species,Trueperella bernardiae
Actinomyces canis,species,Schaalia canis
Actinomyces cardiffensis,species,Schaalia cardiffensis
Actinomyces coleocanis,species,Gleimia coleocanis
Actinomyces europaeus,species,Gleimia europaea
Actinomyces funkei,species,Schaalia funkei
Actinomyces georgiae,species,Schaalia georgiae
Actinomyces hominis,species,Gleimia hominis
Actinomyces hongkongensis,species,Pauljensenia hongkongensis
Actinomyces hordeovulneris,species,Buchananella hordeovulneris
Actinomyces humiferus,species,Cellulomonas humilata
Actinomyces humilatus,species,Cellulomonas humilata
Actinomyces hyovaginalis,species,Schaalia hyovaginalis
Actinomyces liubingyangii,species,Boudabousia liubingyangii
