name,rank,correct_name
Myxobacteria,order,Myxococcales
The Myxobacteria,order,Myxococcales
Cystobacteraceae,family,Archangiaceae
rhizobacteria,order,Hyphomicrobiales
Rhizobiales,order,Hyphomicrobiales
Methylomonadaceae Leadbetter 1974,family,Methylococcaceae
type I methanotrophs,family,Methylococcaceae
Acetobacteraceae (ex Henrici 1939) Gillis and De Ley 1980,family,Acetobacteraceae
Acinetobacteraceae,family,Moraxellaceae
Branhamaceae,family,Moraxellaceae
Simonsiellaceae,family,Neisseriaceae
Enterobacteraceae,family,Enterobacteriaceae
Bartonella group,family,Bartonellaceae
Dichelobacter group,family,Cardiobacteriaceae
Haloanaerobiaceae,family,Halanaerobiaceae
Bacteroidetes,phylum,Bacteroidota
Bacteroidota Whitman et al. 2018,phylum,Bacteroidota
Sphingobacteria,phylum,Bacteroidota
Chlorobaeota,phylum,Chlorobiota
Chlorobiota corrig. Iino et al. 2021,phylum,Chlorobiota
Chlorobi,phylum,Chlorobiota
Cyanobacteria,phylum,Cyanobacteriota
Cyanophycota,phylum,Cyanobacteriota
Cyanophyta,phylum,Cyanobacteriota
Oxygenic photosynthetic bacteria,phylum,Cyanobacteriota
Oxyphotobacteria,phylum,Cyanobacteriota
"Chroococcales corrig. Ardissone, 1886",order,Chroococcales
Chroococcoideae,order,Chroococcales
Prochlorales,family,Prochloraceae
Alphaproteobacteriota,phylum,Pseudomonadota
Alphaproteobacteriota Whitman et al. 2018,phylum,Pseudomonadota
Proteobacteria,phylum,Pseudomonadota
Proteobacteriota,phylum,Pseudomonadota
gamma proteobacteria,class,Gammaproteobacteria
gamma subdivision,class,Gammaproteobacteria
gamma subgroup,class,Gammaproteobacteria
Proteobacteria gamma subdivision,class,Gammaproteobacteria
Pseudomonadia,class,Gammaproteobacteria
"Purple bacteria, gamma subdivision",class,Gammaproteobacteria
Bacillaeota,phylum,Bacillota
Bacillota corrig. Gibbons and Murray 2021,phylum,Bacillota
Bacillus/Clostridium group,phylum,Bacillota
clostridial firmicutes,phylum,Bacillota
Clostridium group firmicutes,phylum,Bacillota
Low G+C firmicutes,phylum,Bacillota
Yaniaceae,family,Micrococcaceae
Yaniellaceae,family,Micrococcaceae
Deinococcaeota,phylum,Deinococcota
Deinococcus-Thermus,phylum,Deinococcota
Bacillus/Staphylococcus group,order,Bacillales
Caryophanales,order,Bacillales
Actinobacteria Stackebrandt et al. 1997,class,Actinomycetes
Actinomycetia,class,Actinomycetes
Thermomonospora group,family,Thermomonosporaceae
Actinosynnemataceae,family,Pseudonocardiaceae
Borrelomycetales,order,Mycoplasmatales
Mollicutales,order,Mycoplasmatales
Mycoplasmas,order,Mycoplasmatales
Paramycetales,order,Mycoplasmatales
Pleuropneumoniales,order,Mycoplasmatales
Borrelomycetaceae,family,Mycoplasmataceae
